population,temperature, days to emergence
albany,22,9
albany,22,9
albany,22,9
albany,22,9
albany,22,9
albany,22,9
albany,22,9
albany,22,9
albany,22,9
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,10
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,11
albany,22,12
albany,22,12
albany,22,13
albany,25,7
albany,25,7
albany,25,7
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,8
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,9
albany,25,10
albany,25,10
albany,25,10
albany,25,10
albany,25,10
albany,25,10
albany,28,7
albany,28,7
albany,28,7
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,8
albany,28,9
albany,28,9
albany,28,9
albany,28,10
albany,28,10
albany,28,11
albany,28,13
albany,28,14
suffolk,22,9
suffolk,22,9
suffolk,22,10
suffolk,22,10
suffolk,22,10
suffolk,22,10
suffolk,22,10
suffolk,22,10
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,11
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,12
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,13
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,14
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,15
suffolk,22,16
suffolk,22,16
suffolk,22,16
suffolk,22,16
suffolk,22,16
suffolk,22,16
suffolk,22,16
suffolk,22,16
suffolk,22,17
suffolk,22,17
suffolk,22,17
suffolk,22,17
suffolk,22,18
suffolk,22,18
suffolk,25,8
suffolk,25,8
suffolk,25,8
suffolk,25,8
suffolk,25,8
suffolk,25,8
suffolk,25,8
suffolk,25,9
suffolk,25,9
suffolk,25,9
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,10
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,11
suffolk,25,12
suffolk,25,12
suffolk,25,12
suffolk,25,12
suffolk,25,12
suffolk,25,12
suffolk,25,12
suffolk,25,12
suffolk,25,12
suffolk,25,12
suffolk,25,12
suffolk,25,12
suffolk,25,13
suffolk,25,13
suffolk,25,13
suffolk,25,13
suffolk,25,13
suffolk,25,13
suffolk,25,13
suffolk,25,13
suffolk,25,13
suffolk,25,13
suffolk,25,13
suffolk,25,13
suffolk,25,14
suffolk,25,14
suffolk,25,14
suffolk,25,14
suffolk,25,14
suffolk,25,14
suffolk,25,14
suffolk,25,14
suffolk,25,14
suffolk,25,14
suffolk,25,14
suffolk,25,14
suffolk,25,15
suffolk,25,15
suffolk,25,15
suffolk,25,17
suffolk,25,17
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,7
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,8
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,9
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,10
suffolk,28,11
suffolk,28,11
suffolk,28,11
suffolk,28,11
suffolk,28,12
suffolk,28,12
suffolk,28,12
suffolk,28,12
suffolk,28,12
suffolk,28,12